doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
164,4015.3,4578.416,4019.477,4984.625,5190.066,5808.884,6674.646,5113.435,NA,7022.459,3816.953,7226.604,5962.932,5380.572,5151.786,3542.554
165,4015.3,4578.416,4019.477,4984.625,5190.066,5808.884,6674.646,5113.435,NA,7022.459,3816.953,7226.604,5962.932,5380.572,5151.786,3542.554
166,4015.3,4578.416,4019.477,4984.625,5190.066,5808.884,6674.646,5113.435,NA,7022.459,3816.953,7226.604,5962.932,5380.572,5151.786,3542.554
167,4015.3,4578.416,4019.477,4984.625,5190.066,5808.884,6674.646,5113.435,NA,7022.459,3816.953,7226.604,5962.932,5380.572,5151.786,3542.554
168,4015.3,4578.416,4019.477,4984.625,5190.066,5808.884,6674.646,5113.435,NA,7022.459,3816.953,7226.604,5962.932,5380.572,5151.786,3542.554
169,NA,6240.438,6069.65,6528.734,5398.949,7904.498,7235.795,7064.961,8618.024,7868.85,NA,8596.059,7413.535,6035.956,6455.15,4873.59
170,NA,6240.438,6069.65,6528.734,5398.949,7904.498,7235.795,7064.961,8618.024,7868.85,NA,8596.059,7413.535,6035.956,6455.15,4873.59
171,NA,6240.438,6069.65,6528.734,5398.949,7904.498,7235.795,7064.961,8618.024,7868.85,NA,8596.059,7413.535,6035.956,6455.15,4873.59
172,NA,6240.438,6069.65,6528.734,5398.949,7904.498,7235.795,7064.961,8618.024,7868.85,NA,8596.059,7413.535,6035.956,6455.15,4873.59
173,NA,6240.438,6069.65,6528.734,5398.949,7904.498,7235.795,7064.961,8618.024,7868.85,NA,8596.059,7413.535,6035.956,6455.15,4873.59
174,NA,6240.438,6069.65,6528.734,5398.949,7904.498,7235.795,7064.961,8618.024,7868.85,NA,8596.059,7413.535,6035.956,6455.15,4873.59
175,NA,6240.438,6069.65,6528.734,5398.949,7904.498,7235.795,7064.961,8618.024,7868.85,NA,8596.059,7413.535,6035.956,6455.15,4873.59
176,NA,6240.438,6069.65,6528.734,5398.949,7904.498,7235.795,7064.961,8618.024,7868.85,NA,8596.059,7413.535,6035.956,6455.15,4873.59
177,NA,7378.493,7093.643,6910.262,7405.22,8096.12,8222.563,8096.875,8825.869,8154.995,6068.77,8676.61,8151.476,7559.046,8413.179,7680.049
178,NA,7378.493,7093.643,6910.262,7405.22,8096.12,8222.563,8096.875,8825.869,8154.995,6068.77,8676.61,8151.476,7559.046,8413.179,7680.049
179,NA,7378.493,7093.643,6910.262,7405.22,8096.12,8222.563,8096.875,8825.869,8154.995,6068.77,8676.61,8151.476,7559.046,8413.179,7680.049
180,NA,7378.493,7093.643,6910.262,7405.22,8096.12,8222.563,8096.875,8825.869,8154.995,6068.77,8676.61,8151.476,7559.046,8413.179,7680.049
181,NA,7378.493,7093.643,6910.262,7405.22,8096.12,8222.563,8096.875,8825.869,8154.995,6068.77,8676.61,8151.476,7559.046,8413.179,7680.049
182,NA,7378.493,7093.643,6910.262,7405.22,8096.12,8222.563,8096.875,8825.869,8154.995,6068.77,8676.61,8151.476,7559.046,8413.179,7680.049
183,NA,7378.493,7093.643,6910.262,7405.22,8096.12,8222.563,8096.875,8825.869,8154.995,6068.77,8676.61,8151.476,7559.046,8413.179,7680.049
184,NA,7378.493,7093.643,6910.262,7405.22,8096.12,8222.563,8096.875,8825.869,8154.995,6068.77,8676.61,8151.476,7559.046,8413.179,7680.049
